,city,lon,lat
0,榆林市,109.8743,38.205
1,延安市,109.1052,36.4252
2,汉中市,106.886,33.0139
3,安康市,109.1162,32.7722
4,商洛市,109.8083,33.761
5,宝鸡市,107.1826,34.3433
6,渭南市,109.7864,35.0299
7,咸阳市,108.4131,34.8706
8,西安市,109.1162,34.2004
9,铜川市,109.0393,35.1947
10,赣州市,115.2795,25.8124
11,吉安市,114.884,26.9659
12,上饶市,117.8613,28.7292
13,九江市,115.4224,29.3774
14,抚州市,116.4441,27.4933
15,宜春市,115.0159,28.3228
16,南昌市,116.0046,28.6633
17,景德镇市,117.334,29.3225
18,萍乡市,113.9282,27.4823
19,鹰潭市,117.0813,28.2349
20,新余市,114.95,27.8174
21,南阳市,112.4011,33.0359
22,信阳市,114.8291,32.0197
23,洛阳市,112.0605,34.3158
24,驻马店市,114.1589,32.9041
25,周口市,114.873,33.6951
26,商丘市,115.741,34.2828
27,三门峡市,110.8301,34.3158
28,新乡市,114.2029,35.3595
29,平顶山市,112.9724,33.739
30,郑州市,113.4668,34.6234
31,安阳市,114.5325,36.0022
32,开封市,114.5764,34.6124
33,焦作市,112.8406,35.1508
34,许昌市,113.6975,34.0466
35,濮阳市,115.1917,35.799
36,漯河市,113.8733,33.6951
37,鹤壁市,114.3787,35.744
38,澳门,111.5547,22.1484
39,烟台市,120.7397,37.5128
40,临沂市,118.3118,35.2936
41,潍坊市,119.0918,36.524
42,青岛市,120.4651,36.3373
43,菏泽市,115.6201,35.2057
44,济宁市,116.8286,35.3375
45,德州市,116.6858,37.2107
46,滨州市,117.8174,37.4963
47,聊城市,115.9167,36.4032
48,东营市,118.7073,37.5513
49,济南市,117.1582,36.8701
50,泰安市,117.0264,36.0516
51,威海市,121.9482,37.1393
52,日照市,119.2786,35.5023
53,淄博市,118.0371,36.6064
54,枣庄市,117.323,34.8926
55,莱芜市,117.6526,36.2714
56,大连市,122.2229,39.4409
57,朝阳市,120.0696,41.4899
58,丹东市,124.541,40.4242
59,铁岭市,124.2773,42.7423
60,沈阳市,123.1238,42.1216
61,抚顺市,124.585,41.8579
62,葫芦岛市,120.1575,40.578
63,阜新市,122.0032,42.2699
64,锦州市,121.6626,41.4294
65,鞍山市,123.0798,40.6055
66,本溪市,124.1455,41.1987
67,营口市,122.4316,40.4297
68,辽阳市,123.4094,41.1383
69,盘锦市,121.9482,41.0449
70,甘孜藏族自治州,99.9207,31.0803
71,阿坝藏族羌族自治州,102.4805,32.4536
72,凉山彝族自治州,101.9641,27.6746
73,绵阳市,104.7327,31.8713
74,达州市,107.6111,31.333
75,广元市,105.6885,32.2284
76,雅安市,102.6672,29.8938
77,宜宾市,104.6558,28.548
78,乐山市,103.5791,29.1742
79,南充市,106.2048,31.1517
80,巴中市,107.0618,31.9977
81,泸州市,105.4578,28.493
82,成都市,103.9526,30.7617
83,资阳市,104.9744,30.1575
84,攀枝花市,101.6895,26.7133
85,眉山市,103.8098,30.0146
86,广安市,106.6333,30.4376
87,德阳市,104.48,31.1133
88,内江市,104.8535,29.6136
89,遂宁市,105.5347,30.6683
90,自贡市,104.6667,29.2786
91,高雄市,120.0254,23.5986
92,屏东县,120.0254,23.5986
93,台南市,120.0254,23.5986
94,新竹市,120.0254,23.5986
95,新竹县,120.0254,23.5986
96,宜兰县,120.0254,23.5986
97,基隆市,120.0254,23.5986
98,苗栗县,120.0254,23.5986
99,台北市,120.0254,23.5986
100,新北市,120.0254,23.5986
101,桃园县,120.0254,23.5986
102,彰化县,120.0254,23.5986
103,嘉义县,120.0254,23.5986
104,嘉义市,120.0254,23.5986
105,花莲县,120.0254,23.5986
106,南投县,120.0254,23.5986
107,台中市,120.0254,23.5986
108,云林县,120.0254,23.5986
109,台东县,120.0254,23.5986
110,澎湖县,120.0254,23.5986
111,金门,120.0254,23.5986
112,马祖,120.0254,23.5986
113,崇明县,121.5637,31.5383
114,南汇区,121.8755,30.954
115,奉贤区,121.5747,30.8475
116,浦东新区,121.6928,31.2561
117,金山区,121.2657,30.8112
118,青浦区,121.1751,31.1909
119,松江区,121.1984,31.0268
120,嘉定区,121.2437,31.3625
121,宝山区,121.4346,31.4051
122,闵行区,121.4992,31.0838
123,杨浦区,121.528,31.2966
124,普陀区,121.3879,31.2602
125,徐汇区,121.4333,31.1607
126,长宁区,121.3852,31.2115
127,闸北区,121.4511,31.2794
128,虹口区,121.4882,31.2788
129,黄浦区,121.4868,31.219
130,卢湾区,121.4758,31.2074
131,静安区,121.4484,31.2286
132,新疆维吾尔自治区,84.9023,42.148
133,西藏自治区,87.8695,31.6846
134,内蒙古自治区,112.5977,46.3408
135,青海省,95.2402,35.4199
136,四川省,101.9199,30.1904
137,黑龙江省,126.1445,48.7156
138,甘肃省,99.7129,38.166
139,云南省,101.0652,25.1807
140,广西壮族自治区,107.7813,23.6426
141,湖南省,111.5332,27.3779
142,陕西省,109.5996,35.7396
143,广东省,113.4668,22.8076
144,吉林省,125.7746,43.5938
145,河北省,115.4004,39.4688
146,湖北省,112.2363,31.1572
147,贵州省,106.6113,26.9385
148,山东省,118.7402,36.4307
149,江西省,116.0156,27.29
150,河南省,113.0668,33.8818
151,辽宁省,122.0438,41.0889
152,山西省,112.4121,37.6611
153,安徽省,117.2461,32.0361
154,福建省,118.3008,25.9277
155,浙江省,120.498,29.0918
156,江苏省,118.8586,32.915
157,重庆市,107.7539,30.1904
158,宁夏回族自治区,105.9961,37.3096
159,海南省,109.9512,19.2041
160,台湾省,120.0254,23.5986
161,北京市,116.4551,40.2539
162,天津市,117.4219,39.4189
163,上海市,121.4648,31.2891
164,香港特别行政区,114.1178,22.3242
165,澳门特别行政区,111.5547,22.1484
166,酉阳土家族苗族自治县,108.8196,28.8666
167,奉节县,109.3909,30.9265
168,巫溪县,109.3359,31.4813
169,开县,108.4131,31.2561
170,彭水苗族土家族自治县,108.2043,29.3994
171,云阳县,108.8306,31.0089
172,万州区,108.3911,30.6958
173,城口县,108.7756,31.9098
174,江津区,106.2158,28.9874
175,石柱土家族自治县,108.2813,30.1025
176,巫山县,109.8853,31.1188
177,涪陵区,107.3364,29.6796
178,丰都县,107.8418,29.9048
179,武隆县,107.655,29.35
180,南川区,107.1716,29.1302
181,秀山土家族苗族自治县,109.0173,28.5205
182,黔江区,108.7207,29.4708
183,合川区,106.3257,30.108
184,綦江县,106.6553,28.8171
185,忠县,107.8967,30.3223
186,梁平县,107.7429,30.6519
187,巴南区,106.7322,29.4214
188,潼南县,105.7764,30.1135
189,永川区,105.8643,29.2566
190,垫江县,107.4573,30.2454
191,渝北区,106.7212,29.8499
192,长寿区,107.1606,29.9762
193,大足县,105.7544,29.6136
194,铜梁县,106.0291,29.8059
195,荣昌县,105.5127,29.4708
196,璧山县,106.2048,29.5807
197,北碚区,106.5674,29.8883
198,万盛区,106.908,28.9325
199,九龙坡区,106.3586,29.4049
200,沙坪坝区,106.3696,29.6191
201,南岸区,106.6663,29.5367
202,江北区,106.8311,29.6191
203,大渡口区,106.4905,29.4214
204,双桥区,105.7874,29.4928
205,渝中区,106.5344,29.5477
206,密云县,117.0923,40.5121
207,怀柔区,116.6377,40.6219
208,房山区,115.8453,39.7163
209,延庆县,116.1543,40.5286
210,门头沟区,115.8,39.9957
211,昌平区,116.1777,40.2134
212,大兴区,116.4716,39.6352
213,顺义区,116.7242,40.1619
214,平谷区,117.1706,40.2052
215,通州区,116.7297,39.8131
216,朝阳区,116.4977,39.949
217,海淀区,116.2202,40.0239
218,丰台区,116.2683,39.8309
219,石景山区,116.1887,39.9346
220,西城区,116.3631,39.9353
221,东城区,116.418,39.9367
222,宣武区,116.3603,39.8852
223,崇文区,116.4166,39.8811
224,儋州市,109.3291,19.5653
225,文昌市,110.8905,19.7823
226,乐东黎族自治县,109.0283,18.6301
227,三亚市,109.3716,18.3698
228,琼中黎族苗族自治县,109.8413,19.0736
229,东方市,108.8498,19.0414
230,海口市,110.3893,19.8516
231,万宁市,110.3137,18.8388
232,澄迈县,109.9937,19.7314
233,白沙黎族自治县,109.3703,19.211
234,琼海市,110.4208,19.224
235,昌江黎族自治县,109.0407,19.2137
236,临高县,109.6957,19.8063
237,陵水黎族自治县,109.9924,18.5415
238,屯昌县,110.0377,19.362
239,定安县,110.3384,19.4698
240,保亭黎族苗族自治县,109.6284,18.6108
241,五指山市,109.5282,18.8299
242,普洱市,100.7446,23.4229
243,红河哈尼族彝族自治州,103.0408,23.6041
244,文山壮族苗族自治州,104.8865,23.5712
245,曲靖市,103.9417,25.7025
246,楚雄彝族自治州,101.6016,25.3619
247,大理白族自治州,99.9536,25.6805
248,临沧市,99.613,24.0546
249,迪庆藏族自治州,99.4592,27.9327
250,昭通市,104.0955,27.6031
251,昆明市,102.9199,25.4663
252,丽江市,100.448,26.955
253,西双版纳傣族自治州,100.8984,21.8628
254,保山市,99.0637,24.9884
255,玉溪市,101.9312,23.8898
256,怒江傈僳族自治州,99.1516,26.5594
257,德宏傣族景颇族自治州,98.1299,24.5874
258,蓟县,117.4672,40.004
259,武清区,117.0621,39.4121
260,宝坻区,117.4274,39.5913
261,静海县,116.9824,38.8312
262,宁河县,117.6801,39.3853
263,大港区,117.3875,38.757
264,塘沽区,117.6801,38.9987
265,西青区,117.1829,39.0022
266,北辰区,117.1761,39.2548
267,东丽区,117.4013,39.1223
268,汉沽区,117.8888,39.2191
269,津南区,117.3958,38.9603
270,河西区,117.2365,39.0804
271,河东区,117.2571,39.1209
272,南开区,117.1527,39.1065
273,河北区,117.2145,39.1615
274,红桥区,117.1596,39.1663
275,和平区,117.2008,39.1189
276,百色市,106.6003,23.9227
277,河池市,107.8638,24.5819
278,桂林市,110.5554,25.318
279,南宁市,108.479,23.1152
280,柳州市,109.3799,24.9774
281,崇左市,107.3364,22.4725
282,来宾市,109.7095,23.8403
283,玉林市,110.2148,22.3792
284,梧州市,110.9949,23.5052
285,贺州市,111.3135,24.4006
286,钦州市,109.0283,22.0935
287,贵港市,109.9402,23.3459
288,防城港市,108.0505,21.9287
289,北海市,109.314,21.6211
290,盐城市,120.2234,33.5577
291,徐州市,117.5208,34.3268
292,南通市,121.1023,32.1625
293,淮安市,118.927,33.4039
294,苏州市,120.6519,31.3989
295,宿迁市,118.5535,33.7775
296,连云港市,119.1248,34.552
297,扬州市,119.4653,32.8162
298,南京市,118.8062,31.9208
299,泰州市,120.0586,32.5525
300,无锡市,120.3442,31.5527
301,常州市,119.4543,31.5582
302,镇江市,119.4763,31.9702
303,巴音郭楞蒙古自治州,88.1653,39.6002
304,和田地区,81.167,36.9855
305,哈密地区,93.7793,42.9236
306,阿克苏地区,82.9797,41.0229
307,阿勒泰地区,88.2971,47.0929
308,喀什地区,77.168,37.8534
309,塔城地区,86.6272,45.8514
310,昌吉回族自治州,89.6814,44.4507
311,克孜勒苏柯尔克孜自治州,74.6301,39.5233
312,吐鲁番地区,89.6375,42.4127
313,伊犁哈萨克自治州,82.5513,43.5498
314,博尔塔拉蒙古自治州,81.8481,44.6979
315,乌鲁木齐市,87.9236,43.5883
316,克拉玛依市,85.2869,45.5054
317,阿拉尔市,81.2769,40.6549
318,图木舒克市,79.1345,39.8749
319,五家渠市,87.5391,44.3024
320,石河子市,86.0229,44.2914
321,吴忠市,106.853,37.3755
322,中卫市,105.4028,36.9525
323,固原市,106.1389,35.9363
324,银川市,106.3586,38.1775
325,石嘴山市,106.4795,39.0015
326,丽水市,119.5642,28.1854
327,杭州市,119.5313,29.8773
328,温州市,120.498,27.8119
329,宁波市,121.5967,29.6466
330,舟山市,122.2559,30.2234
331,台州市,121.1353,28.6688
332,金华市,120.0037,29.1028
333,衢州市,118.6853,28.8666
334,绍兴市,120.564,29.7565
335,嘉兴市,120.9155,30.6354
336,湖州市,119.8608,30.7782
337,清远市,112.9175,24.3292
338,韶关市,113.7964,24.7028
339,湛江市,110.3577,20.9894
340,梅州市,116.1255,24.1534
341,河源市,114.917,23.9722
342,肇庆市,112.1265,23.5822
343,惠州市,114.6204,23.1647
344,茂名市,111.0059,22.0221
345,江门市,112.6318,22.1484
346,阳江市,111.8298,22.0715
347,云浮市,111.7859,22.8516
348,广州市,113.5107,23.2196
349,汕尾市,115.5762,23.0438
350,揭阳市,116.1255,23.313
351,珠海市,113.7305,22.1155
352,佛山市,112.8955,23.1097
353,潮州市,116.7847,23.8293
354,汕头市,117.1692,23.3405
355,深圳市,114.5435,22.5439
356,东莞市,113.8953,22.901
357,中山市,113.4229,22.478
358,承德市,117.5757,41.4075
359,张家口市,115.1477,40.8527
360,保定市,115.0488,39.0948
361,唐山市,118.4766,39.6826
362,沧州市,116.8286,38.2104
363,石家庄市,114.4995,38.1006
364,邢台市,114.8071,37.2821
365,邯郸市,114.4775,36.535
366,秦皇岛市,119.2126,40.0232
367,衡水市,115.8838,37.7161
368,廊坊市,116.521,39.0509
369,遵义市,106.908,28.1744
370,黔东南苗族侗族自治州,108.4241,26.4166
371,毕节地区,105.1611,27.0648
372,黔南布依族苗族自治州,107.2485,25.8398
373,铜仁地区,108.6218,28.0096
374,黔西南布依族苗族自治州,105.5347,25.3949
375,六盘水市,104.7546,26.0925
376,安顺市,105.9082,25.9882
377,贵阳市,106.6992,26.7682
378,六安市,116.3123,31.8329
379,安庆市,116.7517,30.5255
380,滁州市,118.1909,32.536
381,宣城市,118.8062,30.6244
382,阜阳市,115.7629,32.9919
383,宿州市,117.5208,33.6841
384,黄山市,118.0481,29.9542
385,巢湖市,117.7734,31.4978
386,亳州市,116.1914,33.4698
387,池州市,117.3889,30.2014
388,合肥市,117.29,32.0581
389,蚌埠市,117.4109,33.1073
390,芜湖市,118.3557,31.0858
391,淮北市,116.6968,33.6896
392,淮南市,116.7847,32.7722
393,马鞍山市,118.6304,31.5363
394,铜陵市,117.9382,30.9375
395,海西蒙古族藏族自治州,94.9768,37.1118
396,玉树藏族自治州,93.5925,33.9368
397,果洛藏族自治州,99.3823,34.0466
398,海南藏族自治州,100.3711,35.9418
399,海北藏族自治州,100.3711,37.9138
400,黄南藏族自治州,101.5686,35.1178
401,海东地区,102.3706,36.2988
402,西宁市,101.4038,36.8207
403,延边朝鲜族自治州,129.397,43.2587
404,吉林市,126.8372,43.6047
405,白城市,123.0029,45.2637
406,松原市,124.0906,44.7198
407,长春市,125.8154,44.2584
408,白山市,127.2217,42.0941
409,通化市,125.9583,41.8579
410,四平市,124.541,43.4894
411,辽源市,125.343,42.7643
412,忻州市,112.4561,38.8971
413,吕梁市,111.3574,37.7325
414,临汾市,111.4783,36.1615
415,晋中市,112.7747,37.37
416,运城市,111.1487,35.2002
417,大同市,113.7854,39.8035
418,长治市,112.8625,36.4746
419,朔州市,113.0713,39.6991
420,晋城市,112.7856,35.6342
421,太原市,112.3352,37.9413
422,阳泉市,113.4778,38.0951
423,怀化市,109.9512,27.4438
424,永州市,111.709,25.752
425,邵阳市,110.9619,26.8121
426,郴州市,113.2361,25.8673
427,常德市,111.4014,29.2676
428,湘西土家族苗族自治州,109.7864,28.6743
429,衡阳市,112.4121,26.7902
430,岳阳市,113.2361,29.1357
431,益阳市,111.731,28.3832
432,长沙市,113.0823,28.2568
433,株洲市,113.5327,27.0319
434,张家界市,110.5115,29.328
435,娄底市,111.6431,27.7185
436,湘潭市,112.5439,27.7075
437,恩施土家族苗族自治州,109.5007,30.2563
438,十堰市,110.5115,32.3877
439,宜昌市,111.1707,30.7617
440,襄樊市,111.9397,31.9263
441,黄冈市,115.2686,30.6628
442,荆州市,113.291,30.0092
443,荆门市,112.6758,30.9979
444,咸宁市,114.2578,29.6631
445,随州市,113.4338,31.8768
446,孝感市,113.9502,31.1188
447,武汉市,114.3896,30.6628
448,黄石市,115.0159,29.9213
449,神农架林区,110.4565,31.5802
450,天门市,113.0273,30.6409
451,仙桃市,113.3789,30.3003
452,潜江市,112.7637,30.3607
453,鄂州市,114.7302,30.4102
454,呼伦贝尔市,120.8057,50.2185
455,阿拉善盟,102.019,40.1001
456,锡林郭勒盟,115.6421,44.176
457,鄂尔多斯市,108.9734,39.2487
458,赤峰市,118.6743,43.2642
459,巴彦淖尔市,107.5562,41.3196
460,通辽市,121.4758,43.9673
461,乌兰察布市,112.5769,41.77
462,兴安盟,121.3879,46.1426
463,包头市,110.3467,41.4899
464,呼和浩特市,111.4124,40.4901
465,乌海市,106.886,39.4739
466,那曲地区,88.1982,33.3215
467,阿里地区,82.3645,32.7667
468,日喀则地区,86.2427,29.5093
469,林芝地区,95.4602,29.1138
470,昌都地区,97.0203,30.7068
471,山南地区,92.2083,28.3392
472,拉萨市,91.1865,30.1465
473,中西区,114.1178,22.3242
474,湾仔区,114.1178,22.3242
475,东区,114.1178,22.3242
476,南区,114.1178,22.3242
477,油水旺区,114.1178,22.3242
478,九龙市,114.1178,22.3242
479,深水埗区,114.1178,22.3242
480,黄大仙区,114.1178,22.3242
481,观塘区,114.1178,22.3242
482,西贡区,114.1178,22.3242
483,沙田区,114.1178,22.3242
484,葵青区,114.1178,22.3242
485,荃湾区,114.1178,22.3242
486,屯门区,114.1178,22.3242
487,元朗区,114.1178,22.3242
488,北区,114.1178,22.3242
489,大埔区,114.1178,22.3242
490,离岛区,114.1178,22.3242
491,黑河市,127.1448,49.2957
492,大兴安岭地区,124.1016,52.2345
493,哈尔滨市,127.9688,45.368
494,齐齐哈尔市,124.541,47.5818
495,牡丹江市,129.7815,44.7089
496,绥化市,126.7163,46.8018
497,伊春市,129.1992,47.9608
498,佳木斯市,133.0005,47.5763
499,鸡西市,132.7917,45.7361
500,双鸭山市,133.5938,46.7523
501,大庆市,124.7717,46.4282
502,鹤岗市,130.4407,47.7081
503,七台河市,131.2756,45.9558
504,酒泉市,96.2622,40.4517
505,张掖市,99.7998,38.7433
506,甘南藏族自治州,102.9199,34.6893
507,武威市,103.0188,38.1061
508,陇南市,105.304,33.5632
509,庆阳市,107.5342,36.2
510,白银市,104.8645,36.5076
511,定西市,104.5569,35.0848
512,天水市,105.6445,34.6289
513,兰州市,103.5901,36.3043
514,平凉市,107.0728,35.321
515,临夏回族自治州,103.2715,35.5737
516,金昌市,102.074,38.5126
517,嘉峪关市,98.1738,39.8035
518,南平市,118.136,27.2845
519,三明市,117.5317,26.3013
520,龙岩市,116.8066,25.2026
521,宁德市,119.6521,26.9824
522,福州市,119.4543,25.9222
523,漳州市,117.5757,24.3732
524,泉州市,118.3228,25.1147
525,莆田市,119.0918,25.3455
526,厦门市,118.1689,24.6478
